[A-Za-z\.]+\({1}+([A-Za-z0-9]+\s+[A-Za-z0-9]+(, )?)*\){1}+\s\+{1}+\d++	0	ASP.Net	Low	Certain	3
\.java\((Inlined )?Compiled Code\)	0	gstest	Low	Firm
\.invoke\(Unknown Source\)	0	gstest	Low	Firm
nested exception is	0	gstest	Low	Firm
\.js:[0-9]+:[0-9]+	0	gstest	Low	Firm
JBWEB[0-9]{6}:	0	gstest	Low	Firm
((dn|dc|cn|ou|uid|o|c)=[\w\d]*,\s?){2,}	0	gstest	Low	Firm
\[(ODBC SQL Server Driver|SQL Server|ODBC Driver Manager)\]	0	gstest	Low	Firm
Cannot initialize the data source object of OLE DB provider "[\w]*" for linked server "[\w]*"	0	gstest	Low	Firm
You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near	0	gstest	Low	Firm
Illegal mix of collations \([\w\s\,]+\) and \([\w\s\,]+\) for operation	0	gstest	Low	Firm
at (\/[A-Za-z0-9\.]+)*\.pm line [0-9]+	0	gstest	Low	Firm
\.php on line [0-9]+	0	gstest	Low	Firm
\.php</b> on line <b>[0-9]+	0	gstest	Low	Firm
Fatal error:	0	gstest	Low	Firm
Version Information: Microsoft .NET	0	gstest	Low	Firm
Exception Details	0	gstest	Low	Firm
\.php:[0-9]+	0	gstest	Low	Firm
Traceback \(most recent call last\):	0	gstest	Low	Firm
A syntax error has occurred	0	gstest	Low	Firm
Active Server Pages error	0	gstest	Low	Firm
ADODB.Field error	0	gstest	Low	Firm
An illegal character has been found in the statement	0	gstest	Low	Firm
An unexpected token "END-OF-STATEMENT" was found	0	gstest	Low	Firm
ASP.NET is configured to show verbose error messages	0	gstest	Low	Firm
ASP.NET_SessionId	0	gstest	Low	Firm
Can't connect to local	0	gstest	Low	Firm
CLI Driver	0	gstest	Low	Firm
Custom Error Message	0	gstest	Low	Firm
data source=	0	gstest	Low	Firm
database error	0	gstest	Low	Firm
DB2 Driver	0	gstest	Low	Firm
DB2 Error	0	gstest	Low	Firm
DB2 ODBC	0	gstest	Low	Firm
detected an internal error	0	gstest	Low	Firm
detected an internal error [IBM][CLI Driver][DB2/6000]	0	gstest	Low	Firm
Died at	0	gstest	Low	Firm
Disallowed Parent Path	0	gstest	Low	Firm
Error converting data type varchar to numeric	0	gstest	Low	Firm
Error Diagnostic Information	0	gstest	Low	Firm
Error Message : Error loading required libraries.	0	gstest	Low	Firm
Error Report	0	gstest	Low	Firm
Fatal error	0	gstest	Low	Firm
include_path	0	gstest	Low	Firm
Incorrect syntax near	0	gstest	Low	Firm
Invalid Path Character	0	gstest	Low	Firm
Invalid procedure call or argument	0	gstest	Low	Firm
invalid query	0	gstest	Low	Firm
Invision Power Board Database Error	0	gstest	Low	Firm
is not allowed to access	0	gstest	Low	Firm
JDBC Driver	0	gstest	Low	Firm
JDBC Error	0	gstest	Low	Firm
JDBC MySQL	0	gstest	Low	Firm
JDBC Oracle	0	gstest	Low	Firm
JDBC SQL	0	gstest	Low	Firm
Microsoft OLE DB Provider for ODBC Drivers	0	gstest	Low	Firm
Microsoft VBScript compilation error	0	gstest	Low	Firm
Microsoft VBScript error	0	gstest	Low	Firm
missing expression	0	gstest	Low	Firm
mix of collations	0	gstest	Low	Firm
MySQL Driver	0	gstest	Low	Firm
mysql error	0	gstest	Low	Firm
MySQL Error	0	gstest	Low	Firm
mySQL error with query	0	gstest	Low	Firm
MySQL ODBC	0	gstest	Low	Firm
ODBC DB2	0	gstest	Low	Firm
ODBC Driver	0	gstest	Low	Firm
ODBC Error	0	gstest	Low	Firm
ODBC Microsoft Access	0	gstest	Low	Firm
ODBC Oracle	0	gstest	Low	Firm
ODBC SQL	0	gstest	Low	Firm
ODBC SQL Server	0	gstest	Low	Firm
OLE/DB provider returned message	0	gstest	Low	Firm
on line	0	gstest	Low	Firm
on MySQL result index	0	gstest	Low	Firm
ORA-0	0	gstest	Low	Firm
ORA-1	0	gstest	Low	Firm
Oracle DB2	0	gstest	Low	Firm
Oracle Driver	0	gstest	Low	Firm
Oracle Error	0	gstest	Low	Firm
Oracle ODBC	0	gstest	Low	Firm
Parent Directory	0	gstest	Low	Firm
Permission denied: 'GetObject'	0	gstest	Low	Firm
PHP Error	0	gstest	Low	Firm
PHP Parse error	0	gstest	Low	Firm
PHP Warning	0	gstest	Low	Firm
PostgreSQL query failed: ERROR: parser: parse error	0	gstest	Low	Firm
server error	0	gstest	Low	Firm
server object error	0	gstest	Low	Firm
SQL command not properly ended	0	gstest	Low	Firm
SQL Server Driver	0	gstest	Low	Firm
SQL Server Driver][SQL Server	0	gstest	Low	Firm
SQLException	0	gstest	Low	Firm
supplied argument is not a valid MySQL result resource	0	gstest	Low	Firm
Supplied argument is not a valid PostgreSQL result	0	gstest	Low	Firm
Syntax error in query expression	0	gstest	Low	Firm
The error occurred in	0	gstest	Low	Firm
The script whose uid is	0	gstest	Low	Firm
Type mismatch	0	gstest	Low	Firm
Unable to jump to row	0	gstest	Low	Firm
Unclosed quotation mark before the character string	0	gstest	Low	Firm
unexpected end of SQL command	0	gstest	Low	Firm
unexpected error	0	gstest	Low	Firm
Unterminated string constant	0	gstest	Low	Firm
Warning: Cannot modify header information - headers already sent	0	gstest	Low	Firm
Warning: mysql_query	0	gstest	Low	Firm
Warning: mysql_query()	0	gstest	Low	Firm
Warning: pg_connect	0	gstest	Low	Firm
Warning: pg_connect(): Unable to connect to PostgreSQL server: FATAL	0	gstest	Low	Firm
Warning: Supplied argument is not a valid File-Handle resource in	0	gstest	Low	Firm
You have an error in your SQL syntax near	0	gstest	Low	Firm
